credit_rating,account_balance,credit_duration_months,previous_credit_payment_status,credit_purpose,credit_amount,savings,employment_duration,installment_rate(perc_disp_income),marital_status,guarantor,residence_duration,current_assets,age,other_credits,apartment_type,bank_credits,occupation,dependents,telephone_yes,foreign_worker_yes,telephone_no,foreign_worker_no
1,little,18,other_credits_existing,furniture/equipment,1049,little,<1_year,4,female:divorced/married,none,4,life_insurance,21,none,rent,1,skilled-employee,1,0,1,1,0
1,little,9,other_credits_existing,car(new),2799,little,1<_<4_year,2,male:single,none,2,real_estate,36,none,rent,2,skilled-employee,2,0,1,1,0
1,moderate,12,existing_credits_paid_till_now,business,841,moderate,4<_<7_year,2,female:divorced/married,none,4,real_estate,23,none,rent,1,unskilled-resident,1,0,1,1,0
1,little,12,other_credits_existing,car(new),2122,little,1<_<4_year,3,male:single,none,2,real_estate,39,none,rent,2,unskilled-resident,2,0,0,1,1
1,little,12,other_credits_existing,car(new),2171,little,1<_<4_year,4,male:single,none,4,life_insurance,38,bank,own,2,unskilled-resident,1,0,0,1,1
1,little,10,other_credits_existing,car(new),2241,little,<1_year,1,male:single,none,3,real_estate,48,none,rent,2,unskilled-resident,2,0,0,1,1
1,little,8,other_credits_existing,car(new),3398,little,4<_<7_year,1,male:single,none,4,real_estate,39,none,own,2,unskilled-resident,1,0,0,1,1
1,little,6,other_credits_existing,car(new),1361,little,<1_year,2,male:single,none,4,real_estate,40,none,own,1,unskilled-resident,2,0,0,1,1
1,na,18,other_credits_existing,radio/television,1098,little,unemployed,4,female:divorced/married,none,4,car_other,65,none,own,2,unemployed-non-resident,1,0,1,1,0
1,moderate,24,existing_credits_paid_till_now,radio/television,3758,quite_rich,unemployed,1,female:divorced/married,none,4,unknown,23,none,rent,1,unemployed-non-resident,1,0,1,1,0
1,little,11,other_credits_existing,car(new),3905,little,1<_<4_year,2,male:single,none,2,real_estate,36,none,rent,2,skilled-employee,2,0,1,1,0
1,little,30,other_credits_existing,car(used),6187,moderate,4<_<7_year,1,male:married,none,4,car_other,24,none,rent,2,skilled-employee,1,0,1,1,0
1,little,6,other_credits_existing,radio/television,1957,little,4<_<7_year,1,female:divorced/married,none,4,car_other,31,none,own,1,skilled-employee,1,0,1,1,0
1,moderate,48,delay_paying_in_past,others,7582,moderate,unemployed,2,male:single,none,4,unknown,31,none,own,1,highly-qualified,1,1,1,0,0
1,little,18,existing_credits_paid_till_now,radio/television,1936,na,4<_<7_year,2,male:married,none,4,car_other,23,none,rent,2,unskilled-resident,1,0,1,1,0
1,little,6,existing_credits_paid_till_now,radio/television,2647,quite_rich,1<_<4_year,2,male:single,none,3,real_estate,44,none,rent,1,skilled-employee,2,0,1,1,0
1,little,11,other_credits_existing,car(new),3939,little,1<_<4_year,1,male:single,none,2,real_estate,40,none,own,2,unskilled-resident,2,0,1,1,0
1,moderate,18,existing_credits_paid_till_now,radio/television,3213,quite_rich,<1_year,1,male:married,none,3,real_estate,25,none,rent,1,skilled-employee,1,0,1,1,0
1,moderate,36,other_credits_existing,radio/television,2337,little,>7_year,4,male:single,none,4,real_estate,36,none,own,1,skilled-employee,1,0,1,1,0
1,na,11,other_credits_existing,car(new),7228,little,1<_<4_year,1,male:single,none,4,life_insurance,39,none,own,2,unskilled-resident,1,0,1,1,0
1,little,6,other_credits_existing,car(new),3676,little,1<_<4_year,1,male:single,none,3,real_estate,37,none,rent,3,skilled-employee,2,0,1,1,0
1,moderate,12,other_credits_existing,car(new),3124,little,<1_year,1,male:single,none,3,real_estate,49,bank,own,2,unskilled-resident,2,0,1,1,0
0,moderate,36,existing_credits_paid_till_now,repairs,2384,little,<1_year,4,male:single,none,1,unknown,33,none,rent,1,unskilled-resident,1,0,1,1,0
1,moderate,12,other_credits_existing,domestic_appliances,1424,little,4<_<7_year,4,male:single,none,3,life_insurance,26,none,own,1,skilled-employee,1,0,1,1,0
1,little,6,other_credits_existing,car(new),4716,na,<1_year,1,male:single,none,3,real_estate,44,none,own,2,unskilled-resident,2,0,1,1,0
1,moderate,11,delay_paying_in_past,radio/television,4771,little,4<_<7_year,2,male:single,none,4,life_insurance,51,none,own,1,skilled-employee,1,0,1,1,0
1,little,12,existing_credits_paid_till_now,furniture/equipment,652,little,>7_year,4,female:divorced/married,none,4,life_insurance,24,none,rent,1,skilled-employee,1,0,1,1,0
1,moderate,9,other_credits_existing,radio/television,1154,little,>7_year,2,male:single,none,4,real_estate,37,none,own,3,unskilled-resident,1,0,1,1,0
1,na,15,existing_credits_paid_till_now,car(new),3556,na,1<_<4_year,3,male:single,none,2,unknown,29,none,own,1,skilled-employee,1,0,1,1,0
1,rich,42,other_credits_existing,car(used),4796,little,>7_year,4,male:single,none,4,unknown,56,none,for_free,1,skilled-employee,1,0,1,1,0
1,rich,30,other_credits_existing,radio/television,3017,little,>7_year,4,male:single,none,4,life_insurance,47,none,own,1,skilled-employee,1,0,1,1,0
1,na,36,other_credits_existing,car(new),3535,little,4<_<7_year,4,male:single,none,4,car_other,37,none,own,2,skilled-employee,1,1,1,0,0
1,na,36,other_credits_existing,car(new),6614,little,>7_year,4,male:single,none,4,car_other,34,none,own,2,highly-qualified,1,1,1,0,0
1,na,24,existing_credits_paid_till_now,radio/television,1376,quite_rich,4<_<7_year,4,female:divorced/married,none,1,car_other,28,none,own,1,skilled-employee,1,0,1,1,0
1,little,15,existing_credits_paid_till_now,car(new),1721,little,<1_year,2,male:single,none,3,real_estate,36,none,own,1,skilled-employee,1,0,1,1,0
1,little,6,other_credits_existing,car(new),860,little,>7_year,1,female:divorced/married,none,4,unknown,39,none,own,2,skilled-employee,1,1,1,0,0
1,na,12,other_credits_existing,car(new),1495,little,>7_year,4,male:single,none,1,real_estate,38,none,own,2,unskilled-resident,2,0,1,1,0
1,na,12,other_credits_existing,radio/television,1934,little,>7_year,2,male:single,none,2,unknown,26,none,own,2,skilled-employee,1,0,1,1,0
1,na,18,existing_credits_paid_till_now,car(used),3378,na,1<_<4_year,2,male:single,none,1,life_insurance,31,none,own,1,skilled-employee,1,1,1,0,0
1,na,24,other_credits_existing,car(used),3868,little,>7_year,4,female:divorced/married,none,2,car_other,41,none,rent,2,highly-qualified,1,1,1,0,0
1,na,12,other_credits_existing,repairs,996,na,4<_<7_year,4,female:divorced/married,none,4,real_estate,23,none,own,2,skilled-employee,1,0,1,1,0
1,little,24,existing_credits_paid_till_now,others,1755,little,>7_year,4,female:divorced/married,guarantor,4,real_estate,58,none,own,1,unskilled-resident,1,1,1,0,0
1,na,18,other_credits_existing,car(new),1028,little,1<_<4_year,4,female:divorced/married,none,3,real_estate,36,none,own,2,skilled-employee,1,0,1,1,0
1,moderate,24,other_credits_existing,business,2825,na,4<_<7_year,4,male:single,none,3,unknown,34,none,own,2,skilled-employee,2,1,1,0,0
1,moderate,18,existing_credits_paid_till_now,education,1239,na,1<_<4_year,4,male:single,none,4,unknown,61,none,for_free,1,skilled-employee,1,0,1,1,0
0,little,18,existing_credits_paid_till_now,car(new),1216,little,<1_year,4,female:divorced/married,none,3,car_other,23,none,rent,1,skilled-employee,1,1,1,0,0
1,na,24,existing_credits_paid_till_now,business,1258,little,4<_<7_year,4,male:single,none,1,real_estate,25,none,own,1,skilled-employee,1,1,1,0,0
0,na,18,other_credits_existing,education,1864,moderate,1<_<4_year,4,female:divorced/married,none,2,real_estate,30,none,own,2,skilled-employee,1,0,1,1,0
1,na,24,existing_credits_paid_till_now,car(new),1474,moderate,<1_year,4,male:married,none,3,real_estate,33,none,own,1,skilled-employee,1,1,1,0,0
1,little,24,other_credits_existing,business,1382,moderate,4<_<7_year,4,male:single,none,1,real_estate,26,none,own,2,skilled-employee,1,1,1,0,0
1,na,12,existing_credits_paid_till_now,car(new),640,little,1<_<4_year,4,male:divorced,none,2,real_estate,49,none,own,1,unskilled-resident,1,0,1,1,0
1,rich,36,existing_credits_paid_till_now,radio/television,3919,little,1<_<4_year,2,male:single,none,2,real_estate,23,none,own,1,skilled-employee,1,1,1,0,0
1,na,9,other_credits_existing,car(new),1224,little,1<_<4_year,3,male:single,none,1,real_estate,30,none,own,2,skilled-employee,1,0,1,1,0
1,na,12,other_credits_existing,radio/television,2331,na,>7_year,1,male:single,co-applicant,4,real_estate,49,none,own,1,skilled-employee,1,1,1,0,0
1,na,24,existing_credits_paid_till_now,car(used),6313,na,>7_year,3,male:single,none,4,car_other,41,none,own,1,highly-qualified,2,1,1,0,0
1,little,12,other_credits_existing,radio/television,385,little,4<_<7_year,4,female:divorced/married,none,3,real_estate,58,none,own,4,unskilled-resident,1,1,1,0,0
1,na,12,other_credits_existing,radio/television,1655,little,>7_year,2,male:single,none,4,real_estate,63,none,own,2,unskilled-resident,1,1,1,0,0
1,little,15,existing_credits_paid_till_now,radio/television,1053,little,<1_year,4,male:married,none,2,real_estate,27,none,own,1,skilled-employee,1,0,0,1,1
1,na,21,existing_credits_paid_till_now,radio/television,3160,na,>7_year,4,male:single,none,3,life_insurance,41,none,own,1,skilled-employee,1,1,1,0,0
1,na,36,existing_credits_paid_till_now,car(new),3079,na,1<_<4_year,4,male:single,none,4,real_estate,36,none,own,1,skilled-employee,1,0,1,1,0
1,na,12,other_credits_existing,car(new),1163,quite_rich,1<_<4_year,4,male:single,none,4,real_estate,44,none,own,1,skilled-employee,1,1,1,0,0
1,na,24,existing_credits_paid_till_now,car(used),2679,little,<1_year,4,female:divorced/married,none,1,unknown,29,none,own,1,highly-qualified,1,1,1,0,0
