age,workclass,education,maritalStatus,occupation,relationship,race,gender,capitalGain,capitalLoss,hoursPerWeek,nativeCountry,income
39,otherGov,bachelors,single,other,notInFamily,White,Male,2174,0,40,USA,0
50,selfEmployed,bachelors,married,whiteCollar,husband,White,Male,0,0,13,USA,0
38,private,hs_grad,married,blueCollar,notInFamily,White,Male,0,0,40,USA,0
53,private,dropout,married,blueCollar,husband,Black,Male,0,0,40,USA,0
28,private,bachelors,married,professional,wife,Black,Female,0,0,40,notUSA,0
37,private,masters_doctorate,married,whiteCollar,wife,White,Female,0,0,40,USA,0
49,private,dropout,married,other,notInFamily,Black,Female,0,0,16,notUSA,0
52,selfEmployed,hs_grad,married,whiteCollar,husband,White,Male,0,0,45,USA,1
31,private,masters_doctorate,single,professional,notInFamily,White,Female,14084,0,50,USA,1
42,private,bachelors,married,whiteCollar,husband,White,Male,5178,0,40,USA,1
37,private,hs_grad,married,whiteCollar,husband,Black,Male,0,0,80,USA,1
30,otherGov,bachelors,married,professional,husband,AsianPacIslander,Male,0,0,40,notUSA,1
23,private,bachelors,single,other,ownChild,White,Female,0,0,30,USA,0
32,private,associates,single,sales,notInFamily,Black,Male,0,0,50,USA,0
34,private,dropout,married,blueCollar,husband,AmerIndianEskimo,Male,0,0,45,notUSA,0
25,selfEmployed,hs_grad,single,blueCollar,ownChild,White,Male,0,0,35,USA,0
32,private,hs_grad,single,blueCollar,unmarried,White,Male,0,0,40,USA,0
38,private,dropout,married,sales,husband,White,Male,0,0,50,USA,0
43,selfEmployed,masters_doctorate,married,whiteCollar,unmarried,White,Female,0,0,45,USA,1
40,private,masters_doctorate,married,professional,husband,White,Male,0,0,60,USA,1
54,private,hs_grad,married,other,unmarried,Black,Female,0,0,20,USA,0
35,fedGov,dropout,married,blueCollar,husband,Black,Male,0,0,40,USA,0
43,private,dropout,married,blueCollar,husband,White,Male,0,2042,40,USA,0
59,private,hs_grad,married,other,unmarried,White,Female,0,0,40,USA,0
56,otherGov,bachelors,married,other,husband,White,Male,0,0,40,USA,1
19,private,hs_grad,single,blueCollar,ownChild,White,Male,0,0,40,USA,0
39,private,hs_grad,married,whiteCollar,notInFamily,White,Male,0,0,80,USA,0
49,private,hs_grad,married,blueCollar,husband,White,Male,0,0,40,USA,0
23,otherGov,associates,single,other,notInFamily,White,Male,0,0,52,USA,0
20,private,hs_grad,single,sales,ownChild,Black,Male,0,0,44,USA,0
45,private,bachelors,married,whiteCollar,ownChild,White,Male,0,1408,40,USA,0
30,fedGov,hs_grad,married,other,ownChild,White,Male,0,0,40,USA,0
22,otherGov,hs_grad,married,other,husband,Black,Male,0,0,15,USA,0
48,private,dropout,single,blueCollar,unmarried,White,Male,0,0,40,notUSA,0
21,private,hs_grad,single,blueCollar,ownChild,White,Male,0,0,40,USA,0
19,private,hs_grad,married,other,wife,White,Female,0,0,25,USA,0
48,selfEmployed,associates,married,professional,husband,White,Male,0,0,40,USA,0
31,private,dropout,married,blueCollar,husband,White,Male,0,0,43,USA,0
53,selfEmployed,bachelors,married,professional,husband,White,Male,0,0,40,USA,0
24,private,bachelors,married,other,husband,White,Male,0,0,50,USA,0
49,private,hs_grad,married,other,unmarried,White,Female,0,0,40,USA,0
25,private,hs_grad,single,blueCollar,notInFamily,White,Male,0,0,35,USA,0
57,fedGov,bachelors,married,professional,husband,Black,Male,0,0,40,USA,1
53,private,hs_grad,married,blueCollar,husband,White,Male,0,0,38,USA,0
44,private,masters_doctorate,married,whiteCollar,unmarried,White,Female,0,0,40,USA,0
41,otherGov,associates,married,blueCollar,husband,White,Male,0,0,40,USA,0
29,private,associates,single,professional,notInFamily,White,Male,0,0,43,USA,0
25,private,hs_grad,married,whiteCollar,wife,Other,Female,0,0,40,USA,0
47,private,prof_school,married,professional,wife,White,Female,0,1902,60,notUSA,1
50,fedGov,bachelors,married,whiteCollar,notInFamily,White,Male,0,0,55,USA,1
47,selfEmployed,hs_grad,married,whiteCollar,notInFamily,White,Male,0,0,60,USA,0
43,private,hs_grad,married,other,husband,White,Male,0,0,40,USA,1
46,private,dropout,married,blueCollar,husband,White,Male,0,0,40,notUSA,0
35,private,associates,married,other,husband,White,Male,0,0,40,notUSA,0
41,private,hs_grad,married,other,husband,White,Male,0,0,48,USA,0
30,private,hs_grad,married,blueCollar,husband,White,Male,5013,0,40,USA,0
30,private,bachelors,married,sales,husband,White,Male,2407,0,40,USA,0
48,private,hs_grad,married,blueCollar,husband,White,Male,0,0,40,USA,0
42,private,masters_doctorate,married,professional,husband,White,Male,0,0,45,USA,1
29,private,hs_grad,married,other,notInFamily,White,Male,0,0,58,USA,0
36,private,hs_grad,married,blueCollar,husband,White,Male,0,0,40,USA,0
28,private,hs_grad,married,other,notInFamily,White,Female,0,0,40,USA,0
53,private,hs_grad,married,other,wife,White,Female,0,0,40,USA,1
49,selfEmployed,hs_grad,married,whiteCollar,husband,White,Male,0,0,50,USA,1
19,private,hs_grad,single,professional,ownChild,White,Male,0,0,32,USA,0
31,private,bachelors,married,sales,ownChild,Black,Female,0,0,40,USA,0
29,selfEmployed,bachelors,married,sales,husband,White,Male,0,0,70,USA,1
23,private,hs_grad,single,blueCollar,notInFamily,White,Male,0,0,40,USA,0
79,private,hs_grad,married,professional,otherRelative,White,Male,0,0,20,USA,0
27,private,hs_grad,single,other,ownChild,White,Male,0,0,40,notUSA,0
40,private,associates,married,other,husband,White,Male,0,0,40,USA,0
18,private,dropout,single,other,ownChild,White,Female,0,0,22,USA,0
31,otherGov,dropout,married,blueCollar,husband,White,Male,0,0,40,USA,0
18,private,hs_grad,single,sales,notInFamily,White,Male,0,0,30,USA,0
52,private,bachelors,married,other,husband,White,Male,0,0,40,notUSA,0
46,private,hs_grad,married,other,wife,White,Female,0,0,40,USA,0
59,private,hs_grad,married,sales,husband,White,Male,0,0,48,USA,0
44,private,hs_grad,married,blueCollar,notInFamily,White,Female,14344,0,40,USA,1
53,private,hs_grad,married,sales,ownChild,White,Female,0,0,35,USA,0
49,otherGov,hs_grad,married,other,husband,White,Male,0,0,40,USA,1
33,private,masters_doctorate,married,professional,husband,White,Male,0,0,50,USA,0
30,private,dropout,single,sales,notInFamily,White,Male,0,0,40,USA,0
43,fedGov,masters_doctorate,single,professional,notInFamily,White,Female,0,0,50,USA,1
57,private,associates,married,professional,husband,White,Male,0,0,40,USA,0
37,private,hs_grad,married,blueCollar,unmarried,White,Female,0,0,40,USA,0
28,private,hs_grad,married,blueCollar,unmarried,Black,Female,0,0,25,USA,0
34,otherGov,bachelors,married,other,husband,White,Male,0,0,40,USA,1
29,otherGov,hs_grad,single,blueCollar,notInFamily,White,Male,0,0,50,USA,0
48,selfEmployed,masters_doctorate,married,professional,husband,White,Male,0,1902,60,USA,1
37,private,hs_grad,married,sales,husband,White,Male,0,0,48,USA,1
48,private,associates,married,whiteCollar,unmarried,White,Female,0,0,40,notUSA,0
32,fedGov,hs_grad,single,other,ownChild,Black,Male,0,0,40,USA,0
76,private,masters_doctorate,married,whiteCollar,husband,White,Male,0,0,40,USA,1
44,private,bachelors,married,whiteCollar,husband,White,Male,15024,0,60,USA,1
47,selfEmployed,masters_doctorate,single,professional,notInFamily,White,Female,0,0,50,USA,0
20,private,hs_grad,single,other,ownChild,White,Female,0,0,40,USA,0
29,private,hs_grad,single,blueCollar,notInFamily,White,Male,0,0,40,USA,0
32,selfEmployed,hs_grad,married,blueCollar,husband,White,Male,7688,0,40,USA,1
30,private,dropout,single,blueCollar,ownChild,White,Male,0,0,40,USA,0
31,otherGov,hs_grad,single,other,notInFamily,White,Female,0,0,40,USA,0
42,private,hs_grad,married,blueCollar,husband,White,Male,0,0,40,USA,0
24,private,bachelors,single,sales,otherRelative,White,Male,0,0,40,USA,0
38,private,prof_school,married,professional,husband,White,Male,0,0,40,USA,1
56,selfEmployed,hs_grad,married,other,husband,White,Male,0,1887,50,notUSA,1
28,private,hs_grad,married,sales,wife,White,Female,4064,0,25,USA,0
36,private,hs_grad,single,blueCollar,ownChild,White,Female,0,0,40,USA,0
53,private,dropout,married,blueCollar,husband,White,Male,0,0,50,USA,0
56,selfEmployed,hs_grad,married,sales,husband,White,Male,0,0,50,USA,0
49,otherGov,associates,married,blueCollar,husband,Black,Male,0,0,40,USA,1
55,private,hs_grad,married,sales,husband,White,Male,0,0,56,USA,0
22,private,hs_grad,single,blueCollar,notInFamily,White,Male,0,0,41,USA,0
21,private,hs_grad,single,other,ownChild,White,Female,0,0,40,USA,0
40,private,bachelors,married,whiteCollar,husband,White,Male,0,0,60,USA,0
30,private,bachelors,single,whiteCollar,ownChild,Black,Male,0,0,40,notUSA,0
29,otherGov,bachelors,married,professional,husband,White,Male,0,0,50,USA,1
19,private,hs_grad,single,other,ownChild,Black,Male,0,0,35,USA,0
47,private,bachelors,married,whiteCollar,wife,White,Female,0,0,40,USA,1
20,private,hs_grad,single,other,ownChild,White,Female,0,1719,28,USA,0
31,private,associates,married,other,husband,White,Male,0,0,40,USA,1
39,private,hs_grad,married,blueCollar,notInFamily,White,Male,0,0,40,USA,0
28,private,associates,single,sales,notInFamily,White,Female,0,0,60,USA,0
24,private,hs_grad,single,other,notInFamily,White,Female,0,1762,40,USA,0
38,selfEmployed,hs_grad,married,blueCollar,husband,White,Male,4386,0,35,USA,0
37,private,bachelors,married,sales,husband,White,Male,0,0,50,USA,0
46,private,associates,married,other,notInFamily,Black,Female,0,0,36,USA,0
38,fedGov,masters_doctorate,married,professional,husband,White,Male,0,0,40,notUSA,1
43,selfEmployed,hs_grad,married,blueCollar,husband,White,Male,0,0,60,USA,0
27,private,associates,married,other,wife,White,Female,0,0,35,USA,0
20,private,hs_grad,single,sales,ownChild,White,Male,0,0,20,USA,0
49,private,hs_grad,married,blueCollar,husband,AsianPacIslander,Male,0,0,40,USA,1
61,selfEmployed,hs_grad,married,blueCollar,husband,White,Male,0,0,40,USA,0
27,private,hs_grad,single,sales,ownChild,White,Female,0,0,40,USA,0
19,private,hs_grad,single,other,ownChild,White,Male,0,0,30,notUSA,0
45,private,associates,single,professional,notInFamily,White,Female,0,1564,40,USA,1
70,private,hs_grad,single,other,otherRelative,White,Male,0,0,40,USA,0
31,private,hs_grad,single,blueCollar,unmarried,Black,Female,0,0,30,USA,0
22,private,hs_grad,married,other,husband,White,Male,0,0,24,USA,0
36,private,hs_grad,married,other,unmarried,White,Female,0,0,24,USA,0
64,private,dropout,married,blueCollar,husband,White,Male,0,2179,40,USA,0
47,otherGov,hs_grad,married,other,unmarried,White,Female,0,0,38,notUSA,0
34,private,hs_grad,single,other,notInFamily,White,Female,0,0,40,USA,0
33,private,bachelors,single,whiteCollar,otherRelative,AsianPacIslander,Female,0,0,40,notUSA,0
21,private,hs_grad,single,blueCollar,ownChild,White,Male,0,0,35,USA,0
48,private,hs_grad,married,blueCollar,husband,White,Male,0,0,46,USA,0
23,private,bachelors,single,blueCollar,notInFamily,White,Male,0,0,40,USA,0
71,selfEmployed,hs_grad,married,sales,unmarried,Black,Male,0,1816,2,USA,0
29,private,hs_grad,married,blueCollar,notInFamily,White,Male,0,0,60,USA,0
42,private,bachelors,married,other,otherRelative,Black,Male,0,0,50,USA,0
25,private,hs_grad,single,other,unmarried,White,Female,0,0,40,USA,0
44,selfEmployed,masters_doctorate,married,whiteCollar,unmarried,AsianPacIslander,Female,0,0,40,USA,0
28,private,hs_grad,single,whiteCollar,notInFamily,AsianPacIslander,Female,0,0,40,notUSA,0
45,selfEmployed,masters_doctorate,married,sales,husband,White,Male,0,0,40,USA,1
36,private,hs_grad,married,other,unmarried,White,Female,0,0,40,notUSA,0
39,fedGov,associates,single,whiteCollar,notInFamily,White,Male,0,0,42,USA,0
46,otherGov,masters_doctorate,married,other,unmarried,White,Male,0,0,40,USA,0
18,private,dropout,single,blueCollar,ownChild,White,Male,0,0,16,USA,0
66,otherGov,associates,married,professional,notInFamily,White,Female,0,0,20,USA,0
27,private,hs_grad,single,other,notInFamily,White,Male,0,1980,40,USA,0
28,otherGov,hs_grad,married,other,husband,White,Male,0,0,40,USA,0
51,private,hs_grad,married,sales,husband,White,Male,0,1977,40,USA,1
27,private,bachelors,single,blueCollar,notInFamily,White,Male,0,0,50,USA,0
28,otherGov,bachelors,married,professional,husband,White,Male,0,0,40,USA,1
27,private,hs_grad,married,sales,unmarried,White,Female,0,0,25,USA,0
21,private,hs_grad,single,blueCollar,ownChild,Black,Male,0,0,40,USA,0
34,private,hs_grad,single,blueCollar,notInFamily,Black,Male,0,0,40,USA,0
18,private,hs_grad,single,other,ownChild,White,Male,0,0,12,USA,0
33,private,bachelors,married,professional,husband,White,Male,0,0,65,USA,0
44,otherGov,hs_grad,married,whiteCollar,husband,Black,Male,0,0,38,USA,1
43,private,hs_grad,married,other,notInFamily,White,Female,0,0,40,USA,0
30,private,hs_grad,single,blueCollar,notInFamily,Black,Male,0,0,45,USA,0
40,private,dropout,married,blueCollar,husband,White,Male,0,0,40,notUSA,1
37,fedGov,hs_grad,married,other,husband,White,Male,0,0,42,USA,1
34,private,hs_grad,married,other,husband,Black,Male,0,0,40,USA,0
41,selfEmployed,bachelors,married,whiteCollar,notInFamily,White,Female,0,0,40,USA,0
31,private,masters_doctorate,married,professional,wife,White,Female,0,0,50,USA,0
58,otherGov,masters_doctorate,married,professional,husband,White,Male,0,0,1,USA,1
38,private,hs_grad,married,blueCollar,notInFamily,Black,Female,0,0,28,USA,0
24,private,hs_grad,married,blueCollar,husband,White,Male,0,0,40,USA,0
41,otherGov,bachelors,married,blueCollar,husband,Black,Male,0,0,40,USA,0
47,private,hs_grad,married,other,husband,White,Male,0,0,45,USA,0
41,fedGov,bachelors,married,other,husband,White,Male,0,0,24,USA,0
23,private,dropout,married,blueCollar,otherRelative,White,Male,0,0,40,notUSA,0
36,private,hs_grad,married,blueCollar,notInFamily,White,Male,0,0,40,USA,0
40,fedGov,masters_doctorate,single,whiteCollar,notInFamily,White,Female,14084,0,55,USA,1
35,private,masters_doctorate,married,professional,otherRelative,White,Male,7298,0,40,USA,1
24,selfEmployed,hs_grad,single,sales,notInFamily,White,Male,0,0,40,USA,0
26,private,masters_doctorate,single,professional,notInFamily,White,Female,0,1876,40,USA,0
51,private,bachelors,married,whiteCollar,husband,White,Male,0,0,50,USA,1
42,otherGov,hs_grad,single,professional,notInFamily,White,Female,0,1340,40,USA,0
37,otherGov,hs_grad,married,other,unmarried,White,Female,0,0,35,USA,0
18,private,dropout,single,sales,ownChild,White,Female,0,0,40,USA,0
36,private,bachelors,married,other,husband,Black,Male,7298,0,36,USA,1
35,private,hs_grad,married,blueCollar,notInFamily,White,Male,0,0,60,USA,0
58,selfEmployed,hs_grad,married,sales,wife,White,Female,15024,0,35,USA,1
17,private,dropout,single,sales,ownChild,White,Female,0,0,12,USA,0
44,otherGov,hs_grad,married,blueCollar,husband,Black,Male,0,0,40,USA,0
37,private,hs_grad,married,blueCollar,husband,White,Male,0,0,40,USA,1
35,private,hs_grad,single,sales,notInFamily,AmerIndianEskimo,Female,0,0,40,USA,0
60,private,hs_grad,married,blueCollar,husband,AsianPacIslander,Male,0,0,40,USA,0
54,selfEmployed,dropout,married,blueCollar,husband,White,Male,0,0,40,USA,1
37,private,bachelors,single,whiteCollar,notInFamily,Black,Male,0,0,60,USA,1
50,private,associates,married,sales,notInFamily,White,Female,0,0,40,USA,0
38,private,bachelors,married,sales,husband,White,Male,0,0,50,notUSA,0
45,private,bachelors,married,professional,husband,White,Male,0,0,55,USA,0
25,private,dropout,single,blueCollar,notInFamily,White,Male,0,0,40,USA,0
31,private,hs_grad,married,blueCollar,husband,White,Male,0,0,40,USA,0
90,private,hs_grad,single,other,notInFamily,Black,Male,0,2206,40,USA,0
54,private,hs_grad,married,other,husband,Black,Male,0,0,20,USA,0
53,otherGov,dropout,single,blueCollar,notInFamily,White,Female,0,0,35,USA,0
18,private,hs_grad,single,sales,ownChild,White,Female,0,0,40,USA,0
66,selfEmployed,hs_grad,married,blueCollar,husband,White,Male,1409,0,50,USA,0
75,private,associates,married,other,notInFamily,White,Female,0,0,20,notUSA,0
65,private,hs_grad,married,other,notInFamily,White,Female,0,0,40,USA,0
35,private,dropout,married,blueCollar,notInFamily,Black,Male,3674,0,40,USA,0
41,private,hs_grad,married,sales,unmarried,Black,Female,0,0,38,USA,0
25,private,hs_grad,single,other,notInFamily,White,Male,0,0,42,USA,0
33,private,hs_grad,married,blueCollar,otherRelative,Other,Female,0,0,40,USA,0
28,private,prof_school,single,professional,notInFamily,White,Male,0,0,55,USA,1
59,otherGov,hs_grad,married,other,husband,White,Male,0,0,40,USA,0
40,otherGov,hs_grad,single,other,notInFamily,White,Female,0,0,38,USA,0
41,private,bachelors,married,whiteCollar,husband,White,Male,0,0,50,notUSA,1
38,otherGov,masters_doctorate,married,whiteCollar,husband,White,Male,0,0,70,USA,1
23,private,hs_grad,single,blueCollar,ownChild,White,Male,0,0,40,USA,0
40,private,bachelors,married,professional,husband,White,Male,0,0,40,USA,1
41,selfEmployed,hs_grad,married,other,wife,White,Female,0,0,20,USA,0
24,otherGov,associates,married,other,husband,White,Male,0,0,50,USA,0
38,private,hs_grad,married,blueCollar,notInFamily,White,Male,0,1741,40,USA,0
58,private,hs_grad,married,other,husband,White,Male,0,0,45,USA,1
32,private,hs_grad,single,other,notInFamily,White,Female,0,0,34,USA,0
40,private,associates,married,other,husband,White,Male,0,1977,60,USA,1
41,private,prof_school,married,professional,wife,White,Female,0,0,40,USA,1
42,private,bachelors,married,other,wife,Black,Female,0,0,40,USA,0
59,otherGov,dropout,married,other,unmarried,Black,Female,0,0,30,USA,0
19,otherGov,hs_grad,single,other,ownChild,White,Male,0,0,40,USA,0
58,private,hs_grad,single,blueCollar,notInFamily,White,Male,0,0,20,USA,0
42,selfEmployed,hs_grad,married,blueCollar,husband,AsianPacIslander,Male,0,0,40,notUSA,1
20,private,hs_grad,single,other,ownChild,White,Female,0,0,40,USA,0
32,private,hs_grad,married,other,notInFamily,White,Female,0,0,30,USA,0
45,private,associates,married,whiteCollar,notInFamily,White,Female,0,0,45,USA,0
50,private,dropout,married,blueCollar,notInFamily,White,Male,0,0,40,USA,0
36,private,bachelors,married,professional,ownChild,White,Female,0,0,40,USA,0
45,private,hs_grad,married,sales,husband,White,Male,0,0,60,USA,0
17,private,dropout,single,other,ownChild,White,Male,0,0,12,USA,0
59,private,hs_grad,married,sales,husband,White,Male,4064,0,40,USA,0
26,private,dropout,married,blueCollar,husband,White,Male,0,0,40,USA,0
37,selfEmployed,hs_grad,married,whiteCollar,husband,AsianPacIslander,Male,0,0,75,notUSA,1
64,private,hs_grad,married,whiteCollar,husband,White,Male,0,0,40,USA,1
33,private,bachelors,single,professional,notInFamily,White,Female,0,0,45,USA,0
33,private,hs_grad,married,blueCollar,wife,White,Female,0,0,40,USA,1
61,private,hs_grad,married,whiteCollar,husband,White,Male,0,0,40,USA,1
17,private,dropout,single,other,ownChild,White,Male,1055,0,24,USA,0
50,selfEmployed,masters_doctorate,married,blueCollar,husband,White,Male,2407,0,98,USA,0
27,otherGov,masters_doctorate,single,professional,ownChild,White,Male,0,0,35,USA,0
30,private,hs_grad,married,professional,ownChild,White,Female,0,0,40,USA,0
43,private,hs_grad,married,blueCollar,husband,Black,Male,0,0,40,USA,0
44,private,hs_grad,married,blueCollar,husband,White,Male,7298,0,40,USA,1
35,private,hs_grad,single,whiteCollar,notInFamily,White,Female,0,0,40,USA,0
25,private,hs_grad,single,other,ownChild,White,Female,0,0,40,USA,0
24,private,hs_grad,married,blueCollar,wife,White,Female,7298,0,48,USA,1
22,private,bachelors,single,professional,notInFamily,White,Female,0,0,15,notUSA,0
42,otherGov,hs_grad,married,blueCollar,husband,White,Male,5178,0,40,USA,1
34,private,associates,married,sales,unmarried,Black,Female,0,0,45,USA,0
60,private,bachelors,married,professional,notInFamily,White,Female,0,0,42,USA,0
21,private,hs_grad,single,blueCollar,ownChild,White,Male,0,0,40,USA,0
57,fedGov,masters_doctorate,married,sales,husband,White,Male,15024,0,40,USA,1
41,private,prof_school,married,professional,husband,White,Male,0,0,60,USA,1
50,private,hs_grad,married,other,notInFamily,White,Male,0,0,45,USA,0
25,private,bachelors,single,whiteCollar,notInFamily,White,Female,0,0,40,USA,0
50,private,dropout,married,blueCollar,husband,White,Male,0,0,40,notUSA,0
36,private,bachelors,married,professional,husband,White,Male,0,0,45,USA,0
31,private,hs_grad,married,professional,notInFamily,White,Female,0,0,40,USA,0
29,otherGov,bachelors,single,other,notInFamily,White,Male,0,0,56,USA,0
21,private,hs_grad,single,sales,ownChild,White,Male,0,0,45,USA,0
27,private,bachelors,single,other,unmarried,Black,Female,0,0,40,USA,0
65,private,hs_grad,married,blueCollar,husband,White,Male,0,0,16,USA,0
37,selfEmployed,bachelors,married,sales,notInFamily,White,Female,0,0,60,USA,0
24,private,hs_grad,single,blueCollar,ownChild,White,Male,0,0,40,USA,0
38,private,hs_grad,married,sales,notInFamily,White,Male,0,0,80,USA,0
48,private,bachelors,married,other,husband,White,Male,7688,0,40,USA,1
